7;1;3;8;4;5;4;2;5;
3;4;7;4;5;5;1;7;3;
2;8;2;6;7;1;3;8;5;
7;2;7;5;3;8;5;5;8;
3;2;9;8;8;0;4;0;0;
5;3;2;2;2;3;3;4;4;
1;3;5;3;4;3;6;5;4;
7;6;2;8;6;3;4;3;4;
4;3;5;3;2;6;1;1;2;
3;3;5;0;2;4;7;2;2;
4;6;1;2;7;4;3;8;5;
3;3;6;1;3;3;5;2;3;
6;1;3;7;4;2;8;5;3;
8;6;2;2;7;5;2;8;6;
3;8;7;6;0;8;3;5;9;
2;5;9;1;1;0;1;3;0;
6;1;7;7;3;6;9;5;3;
2;6;5;3;7;5;4;8;4;
4;3;2;2;2;3;2;1;5;
3;3;6;3;4;8;1;3;9;
5;4;0;2;3;2;2;1;3;
2;5;4;3;3;2;4;3;1;
7;4;4;5;3;4;6;3;5;
2;2;6;3;3;7;5;2;8;
3;4;9;6;4;0;6;3;2;
3;3;1;5;5;2;4;6;3;
4;5;5;2;7;8;6;6;9;
